Timestamp,Username,First Name,Last Name,Do you like vanilla ice cream?,Do you like chocolate ice cream?,Do you like strawberry ice cream?,Do you like Python?,Do you like Java?,Do you like C/C++?,...,Do you like Indie music?,What about K-Pop?,Do you live on campus?,Do you live in Allston?,Do you live in Cambridge?,Do you live in Brookline?,"You want to enter the tech industry (Google, Facebook, Microsoft, Startups...).",You want to pursue a career in Finance.,You want to work in a role related to Game Design.,You want to eventually work in a role that is algorithm/math heavy.
2021/02/02 7:49:10 PM EST,REDACTED,A,A,Yes,Yes,Yes,Yes,Yes,Yes,...,Yes,No,No,Yes,No,No,Yes,Yes,No,No
2021/02/02 7:49:12 PM EST,REDACTED,B,A,No,Yes,Yes,Yes,No,No,...,Yes,No,Yes,No,No,No,Yes,No,No,No
2021/02/02 7:49:14 PM EST,REDACTED,C,A,Yes,Yes,Yes,Yes,Yes,No,...,Yes,No,Yes,No,No,No,Yes,No,No,No
2021/02/02 7:49:19 PM EST,REDACTED,D,A,Yes,Yes,No,Yes,Yes,Yes,...,Yes,No,No,No,No,Yes,Yes,No,Yes,No
2021/02/02 7:49:22 PM EST,REDACTED,E,A,Yes,No,Yes,Yes,Yes,No,...,No,No,No,No,No,No,Yes,No,No,Yes
2021/02/02 7:49:30 PM EST,REDACTED,F,A,Yes,Yes,No,Yes,No,Yes,...,No,No,Yes,No,No,No,Yes,No,Yes,Yes
2021/02/02 7:49:45 PM EST,REDACTED,G,A,Yes,No,No,Yes,Yes,Yes,...,Yes,No,Yes,No,No,No,Yes,No,No,No
2021/02/02 7:50:06 PM EST,REDACTED,H,A,Yes,Yes,No,Yes,Yes,No,...,No,No,No,No,No,Yes,Yes,Yes,No,No
2021/02/02 7:50:08 PM EST,REDACTED,I,A,Yes,No,No,Yes,Yes,No,...,Yes,No,Yes,No,No,No,Yes,No,Yes,No
2021/02/02 7:50:11 PM EST,REDACTED,J,A,Yes,No,Yes,Yes,Yes,No,...,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes
2021/02/02 7:50:27 PM EST,REDACTED,K,A,Yes,Yes,Yes,No,No,No,...,Yes,Yes,Yes,No,No,No,Yes,No,No,No
2021/02/02 7:50:56 PM EST,REDACTED,L,A,Yes,No,No,Yes,Yes,Yes,...,No,No,Yes,No,No,No,Yes,Yes,No,Yes
2021/02/02 7:51:05 PM EST,REDACTED,M,A,Yes,Yes,No,Yes,Yes,Yes,...,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes
2021/02/02 7:51:28 PM EST,REDACTED,N,A,No,Yes,Yes,Yes,Yes,No,...,No,No,Yes,No,No,No,Yes,No,No,Yes
2021/02/02 7:51:32 PM EST,REDACTED,O,A,Yes,Yes,Yes,Yes,Yes,Yes,...,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes
2021/02/02 7:51:32 PM EST,REDACTED,P,A,Yes,Yes,Yes,Yes,Yes,No,...,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes
2021/02/02 7:51:32 PM EST,REDACTED,Q,A,Yes,Yes,No,Yes,No,Yes,...,Yes,No,Yes,No,No,No,Yes,No,No,No
2021/02/02 7:52:19 PM EST,REDACTED,R,A,Yes,No,Yes,Yes,Yes,No,...,Yes,Yes,No,No,No,Yes,Yes,No,No,No
2021/02/02 7:52:24 PM EST,REDACTED,S,A,Yes,No,Yes,Yes,Yes,Yes,...,Yes,No,Yes,No,No,No,Yes,No,Yes,No
2021/02/02 7:52:26 PM EST,REDACTED,T,A,No,Yes,No,Yes,Yes,No,...,No,No,Yes,No,No,No,Yes,No,No,No
2021/02/02 7:52:38 PM EST,REDACTED,U,A,Yes,Yes,Yes,Yes,Yes,No,...,Yes,No,No,No,No,No,Yes,No,No,No
2021/02/02 7:52:43 PM EST,REDACTED,V,A,Yes,Yes,Yes,Yes,Yes,No,...,Yes,Yes,Yes,No,No,No,Yes,No,No,No
2021/02/02 7:52:51 PM EST,REDACTED,W,A,Yes,Yes,Yes,Yes,Yes,Yes,...,No,Yes,No,No,No,No,Yes,Yes,No,Yes
2021/02/02 7:53:17 PM EST,REDACTED,X,A,Yes,Yes,No,Yes,Yes,No,...,Yes,No,No,No,Yes,No,Yes,No,No,Yes
2021/02/02 7:53:48 PM EST,REDACTED,Y,A,No,Yes,No,Yes,Yes,No,...,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes
2021/02/02 7:54:21 PM EST,REDACTED,Z,A,Yes,No,No,Yes,Yes,No,...,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes
2021/02/02 7:54:27 PM EST,REDACTED,A,B,Yes,Yes,Yes,Yes,Yes,No,...,No,No,Yes,No,No,No,Yes,No,No,No
2021/02/02 7:55:03 PM EST,REDACTED,B,B,Yes,Yes,Yes,Yes,Yes,No,...,No,Yes,No,No,Yes,No,Yes,No,No,No
2021/02/02 7:59:22 PM EST,REDACTED,C,B,Yes,No,No,Yes,No,Yes,...,No,No,No,No,No,No,Yes,No,No,Yes
2021/02/02 9:23:42 PM EST,REDACTED,D,B,Yes,No,No,Yes,Yes,No,...,Yes,No,Yes,No,No,No,Yes,No,No,Yes
2021/02/02 9:40:53 PM EST,REDACTED,E,B,Yes,Yes,Yes,Yes,Yes,Yes,...,No,No,Yes,No,No,No,Yes,Yes,No,Yes
2021/02/02 9:57:29 PM EST,REDACTED,F,B,Yes,Yes,Yes,Yes,Yes,No,...,Yes,No,Yes,No,No,No,Yes,No,No,Yes
2021/02/03 1:22:25 PM EST,REDACTED,G,B,Yes,Yes,No,Yes,Yes,Yes,...,No,No,No,No,No,Yes,Yes,Yes,No,No
2021/02/09 2:07:14 PM EST,REDACTED,H,B,Yes,Yes,Yes,Yes,Yes,No,...,No,No,No,No,No,No,No,Yes,No,No
2021/02/09 2:09:54 PM EST,REDACTED,I,B,Yes,No,Yes,Yes,Yes,No,...,Yes,No,No,No,No,Yes,Yes,No,No,Yes
2021/02/09 2:21:15 PM EST,REDACTED,J,B,Yes,No,Yes,No,Yes,Yes,...,No,No,Yes,No,No,No,Yes,Yes,No,Yes
2021/02/09 2:21:53 PM EST,REDACTED,K,B,No,Yes,No,Yes,Yes,No,...,Yes,Yes,No,No,No,Yes,Yes,No,No,No
2021/02/09 2:31:29 PM EST,REDACTED,L,B,Yes,No,Yes,Yes,Yes,No,...,No,No,No,No,No,Yes,Yes,No,No,No
2021/02/09 7:00:56 PM EST,REDACTED,M,B,No,No,Yes,Yes,Yes,No,...,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes
2021/02/09 7:08:55 PM EST,REDACTED,N,B,Yes,Yes,No,Yes,Yes,No,...,Yes,No,No,No,No,No,No,No,No,Yes
